No.,Clinic,Branch,Location,Open,Tel
1,Best Friend Clinic,1,"Soi Sukhumvit 34, Khlong Tan, Khlong Toei",12.00 - 20.00,094 545 4142
2,MedPark Hospital,1,"3333 Rama IV Rd, Khlong Toei",24 hours,02 023 3333
3,DBN Infertility Clinic,1,"999 9 Rama IX Rd, Suan Luang",08.00 - 16.00,094 262 2894
4,Iss Clinic,1,"Siam Square Soi 3, Pathum Wan",10.00 - 22.00,088 044 8800
5,101 Aesthetic Clinic,1,"Siam Square Soi 3, Pathum Wan",11.00 - 21.30,088 077 6000
6,TA-MA-DA Clinic,1,"Glas Haus Ratchada Building, Building A, 3rd Floor, Ratchadaphisek Rd",11:00 - 22:00,081 247 9970
7,Hello Clinic,Chidlom,"Piyaplace, 14th Floor, Phloen Chit Rd",10:00 - 19.00,065 664 9297
,Hello Clinic,Ladprao,"Soi Lat Phrao 23 Lane 2, Khwaeng Chan Kasem, Khet Chatuchak",10:00 - 19.00,065 664 9297
8,Maline Clinic,Maline Clinic,"Phahonyothin Road, Samsen Nai, Phaya Thai",11:00 - 20.00 ,098 795 4526
,,Ramintra,"Ramintra Expressway (Niche3 Project Soi Pradit Manutham 3), Pradit Manutham Rd",11:00 - 20.00 ,099 254 4463
,,Thonglor,"953 Community Mall, Thong Lo Soi 9 Sukhumvit 53,",11:00 - 20.00 ,092 446 4693
,,Udon,"Soi Adulyadej, Mak Khaeng Sub-district, Mueang Udon Thani District",11:00 - 20.00 ,096 352 6515
9,Kharis Clinic,1,"Sukhumvit 16, Ratchadaphisek Rd, Khlong Toei,",11:00 - 20:00,088 649 2956
10,Dahlia Clinic,Asoke,"Interchange 21, Sukhumvit Road",10:00 - 21:00,099 626 9246
,Dahlia Clinic,Silom,"Trinity Complex Building, 2nd Floor, Soi Narathiwat 3",10:00 - 21:00,099 626 9246
11,Masterpiece Hospital,1,"Sukhothai Road, Dusit",10.00 - 20.00,02 105 4370
12,Siraikorn Clinic,1,Huai Khwang,10.00 - 19.00,086 565 6989
13,PSC Clinic,1,"BEEHIVE Lifestyle Mall, Muangthongthani",10.00 - 20.00,088 011 7440
14,KTC Clinic,Silom,"Silom Edge Building, 3rd Floor (silom Edge)",11.00 - 20.00,096 962 9297
,,Bang Khae,"The Mall Bang Khae Branch, 7th Floor, 275 Petchkasem Rd",11.00 - 20.00,096 962 9297
,,Ratchaphruek,"102 Ratchaphruek Rd,  Bang Ramat, Taling Chan",11.00 - 20.00,096 962 9297
15,Mia Clinic,1,"Sukhumvit 63 (Ekamai), Khlong Tan Nuea,",11.00 - 20.00 ,093 919 6563
16,Kongju Clinic,1,"S.K.D.Mungkomg Group Building, Ratchadaphisek Rd",10.00 - 19.00,094 948 2226
17,Aesthe Clinic,1,"Mong Huad Heng Building , Maeklong, Muang, Samut Songkhram",10.00 - 19.00,061 584 3888
18,Chillin Clinic,1,"Thanalai Road, Rop Wiang, Chiang Rai",10.00 - 19.00,088 299 4463
19,The Art Clinic,Lat Phrao,"Lat Phrao Rd, Khlong Chaokhunsing, Wang Thonglang",09.00 - 20.00,062 683 8556
,,Pattaya,Bang Lamung,09.00 - 20.00,094 459 8556
,,Siam Square,Siam Square One 3 floor,09.00 - 20.00,099 152 8556
20,Medmetic by Meko,1,"Vibhavadi Rangsit Rd, Din Daeng",09.00 - 20.00,02 114 3000
21,Vincent Clinic,Asoke,"Exchange Tower, 3rd Floor, Sukhumvit Road",11.00 - 20.00,061 415 3424
,,Pattaya,"Pattaya Rd, Muang Pattaya, Bang Lamung District",11.00 - 19.00,061 413 8224
,,Rayong,"Noen Phra Sub-district, Mueang Rayong District",11.00 - 19.00,061 420 8624
,,Amata Nakhon,"Don Hua Lo, Chon Buri District, Chon Buri",11.00 - 19.00,061 421 1624
,,Saha Pat,"Nong Kham, Si Racha District, Chon Buri",11.00 - 19.00,061 415 0724
,,Nakhon Ratchasima,"Atsadang Rd., Mueang Nakhon Ratchasima, Amphoe Mueang Nakhon Ratchasima",11.00 - 19.00,061 420 1824
,,Khonkaen,"Nai Mueang, Mueang Khon Kaen District",11.00 - 19.00,061 420 1924
22,Show time Clinic,1,"Ratchadaphisek 26 Alley, Samsen Nok, Huai Khwang",10.00 - 20.00,092 739 2777
23,Sowon Clinic,Ladprao,"Ladprao 101/3,  Khlong Chan, Bang Kapi District, ",08.00 - 17.00,097 207 3296
,,Future Park Rangsit,"1st Floor, Phahonyothin Road, Prachathipat, Thanyaburi District,",10.30 - 21.00,097 207 3296
,,Ramkhamhaeng 24,"Bangkok Inter Place Hotel 92 Soi Ramkhamhaeng 24, Hua Mak, Bang Kapi District",10.00-19.00,097 207 3296
,,Ratchadaphisek 22,"Ratchadaphisek 22 Alley, Samsen Nok, Huai Khwang",08.00-17.00,097 207 3296
24,Emma Clinic,Lat Phrao,"Lat Phrao Rd, Khlong Chan, Bang Kapi District",10.00 - 19.00,063 394 7492
,,Phraeksa,"Phraeksa, Mueang Samut Prakan District",10.00 - 20.00,063 235 9094
