Index,No.,Clinic,Branch,Location,Open,Tel,lat,lon
1,1,Best Friend Clinic,1,"Soi Sukhumvit 34, Khlong Tan, Khlong Toei",12.00 - 20.00,094 545 4142,13.72488379,100.5733999
2,2,MedPark Hospital,1,"3333 Rama IV Rd, Khlong Toei",24 hours,02 023 3333,13.7081381,100.5836128
3,3,DBN Infertility Clinic,1,"999 9 Rama IX Rd, Suan Luang",08.00 - 16.00,094 262 2894,13.74134449,100.6171747
4,4,Iss Clinic,1,"Siam Square Soi 3, Pathum Wan",10.00 - 22.00,088 044 8800,13.74581,100.53246
5,5,101 Aesthetic Clinic,1,"Siam Square Soi 3, Pathum Wan",11.00 - 21.30,088 077 6000,13.74581,100.53246
6,6,TA-MA-DA Clinic,1,"Glas Haus Ratchada Building, Building A, 3rd Floor, Ratchadaphisek Rd",11:00 - 22:00,081 247 9970,13.8173778,100.5760857
7,7,Hello Clinic,Chidlom,"Piyaplace, 14th Floor, Phloen Chit Rd",10:00 - 19.00,065 664 9297,29.57669,79.87755
8,,Hello Clinic,Ladprao,"Soi Lat Phrao 23 Lane 2, Khwaeng Chan Kasem, Khet Chatuchak",10:00 - 19.00,065 664 9297,13.80764728,100.5755969
9,8,Maline Clinic,Maline Clinic,"Phahonyothin Road, Samsen Nai, Phaya Thai",11:00 - 20.00 ,098 795 4526,13.78053888,100.5449384
10,,,Ramintra,"Ramintra Expressway (Niche3 Project Soi Pradit Manutham 3), Pradit Manutham Rd",11:00 - 20.00 ,099 254 4463,,
11,,,Thonglor,"953 Community Mall, Thong Lo Soi 9 Sukhumvit 53,",11:00 - 20.00 ,092 446 4693,,
12,,,Udon,"Soi Adulyadej, Mak Khaeng Sub-district, Mueang Udon Thani District",11:00 - 20.00 ,096 352 6515,17.4155,102.78636
13,9,Kharis Clinic,1,"Sukhumvit 16, Ratchadaphisek Rd, Khlong Toei,",11:00 - 20:00,088 649 2956,13.72860195,100.5600157
14,10,Dahlia Clinic,Asoke,"Interchange 21, Sukhumvit Road",10:00 - 21:00,099 626 9246,13.73644714,100.5617669
15,,Dahlia Clinic,Silom,"Trinity Complex Building, 2nd Floor, Soi Narathiwat 3",10:00 - 21:00,099 626 9246,38.28873,-75.83299
16,11,Masterpiece Hospital,1,"Sukhothai Road, Dusit",10.00 - 20.00,02 105 4370,13.77959336,100.5137547
17,12,Siraikorn Clinic,1,Huai Khwang,10.00 - 19.00,086 565 6989,13.77660613,100.5793187
18,13,PSC Clinic,1,"BEEHIVE Lifestyle Mall, Muangthongthani",10.00 - 20.00,088 011 7440,,
19,14,KTC Clinic,Silom,"Silom Edge Building, 3rd Floor (silom Edge)",11.00 - 20.00,096 962 9297,51.78694978,-2.222599842
20,,,Bang Khae,"The Mall Bang Khae Branch, 7th Floor, 275 Petchkasem Rd",11.00 - 20.00,096 962 9297,,
